Date,Open,High,Low,Close,Adj Close,Volume
2023-06-29,107.000000,107.360001,106.599998,106.919998,106.919998,2066930
2023-06-30,106.940002,107.980003,106.879997,107.599998,107.599998,3898509
2023-07-03,107.580002,108.500000,107.519997,107.839996,107.839996,1996854
2023-07-04,107.900002,108.000000,106.860001,106.959999,106.959999,1735699
2023-07-05,106.760002,107.199997,106.519997,106.900002,106.900002,2603607
2023-07-06,106.680000,106.760002,105.639999,106.080002,106.080002,2585130
2023-07-07,105.779999,105.900002,104.660004,104.660004,104.660004,2510595
2023-07-10,105.040001,106.139999,105.000000,105.580002,105.580002,2206067
2023-07-11,105.300003,105.519997,105.000000,105.080002,105.080002,2461390
2023-07-12,105.300003,105.360001,104.040001,104.699997,104.699997,3107077
2023-07-13,104.820000,105.580002,104.680000,105.099998,105.099998,1903526
2023-07-14,105.279999,105.900002,104.980003,105.199997,105.199997,3088207
2023-07-17,105.400002,105.480003,104.699997,104.739998,104.739998,1893731
2023-07-18,104.320000,104.739998,104.120003,104.379997,104.379997,2379527
2023-07-19,104.440002,105.440002,104.419998,104.760002,104.760002,2910928
2023-07-20,104.900002,104.900002,103.680000,104.059998,104.059998,3089793
2023-07-21,104.519997,105.019997,104.360001,104.660004,104.660004,2254626
2023-07-24,104.879997,105.040001,104.160004,104.400002,104.400002,1800316
2023-07-25,104.739998,105.360001,104.599998,104.599998,104.599998,2319325
2023-07-26,105.180000,105.239998,103.839996,105.239998,105.239998,2727668
2023-07-27,106.300003,108.480003,106.199997,108.000000,108.000000,3999682
2023-07-28,107.040001,108.239998,106.500000,107.360001,107.360001,2626250
2023-07-31,107.000000,107.680000,106.699997,106.879997,106.879997,2335285
2023-08-02,106.660004,107.739998,106.400002,107.300003,107.300003,3180047
2023-08-03,107.000000,107.080002,105.120003,105.360001,105.360001,2861077
2023-08-04,105.300003,105.360001,103.720001,104.160004,104.160004,2801728
2023-08-07,104.160004,104.480003,103.639999,104.360001,104.360001,1965257
2023-08-08,104.440002,105.040001,104.040001,104.040001,104.040001,2189333
2023-08-09,103.959999,104.639999,103.760002,104.300003,104.300003,1480568
2023-08-10,104.440002,105.300003,104.440002,105.040001,105.040001,2016437
2023-08-11,104.879997,105.019997,104.059998,104.080002,104.080002,1648160
2023-08-14,104.400002,104.660004,104.040001,104.500000,104.500000,1597995
2023-08-15,104.300003,104.320000,102.800003,103.000000,103.000000,2266059
2023-08-16,103.000000,104.360001,103.000000,104.220001,104.220001,2411485
2023-08-17,103.760002,103.919998,103.239998,103.300003,103.300003,2062494
2023-08-18,103.139999,103.879997,102.779999,103.860001,103.860001,2660675
2023-08-21,103.599998,104.720001,103.580002,104.160004,104.160004,2317502
2023-08-22,104.379997,105.180000,104.160004,104.160004,104.160004,1973664
2023-08-23,104.220001,105.260002,104.120003,104.720001,104.720001,1659755
2023-08-24,105.360001,105.820000,105.199997,105.699997,105.699997,2490785
2023-08-25,105.500000,106.500000,105.500000,106.239998,106.239998,2185900
2023-08-28,106.500000,106.860001,106.360001,106.559998,106.559998,1491938
2023-08-29,106.800003,107.419998,106.599998,106.959999,106.959999,2387756
2023-08-30,107.019997,107.260002,106.160004,106.320000,106.320000,2239872
2023-08-31,106.639999,106.839996,106.000000,106.400002,106.400002,7885215
2023-09-01,106.099998,106.660004,105.260002,105.459999,105.459999,2023877
2023-09-04,105.360001,105.959999,104.879997,105.040001,105.040001,1401253
2023-09-05,104.900002,104.940002,103.739998,103.739998,103.739998,2330313
2023-09-06,103.660004,104.440002,103.320000,104.199997,104.199997,1954756
2023-09-07,104.139999,105.300003,103.519997,105.199997,105.199997,2199011
2023-09-08,105.000000,105.459999,104.639999,105.220001,105.220001,1531719
2023-09-11,105.500000,106.139999,105.279999,106.099998,106.099998,1872659
2023-09-12,106.120003,106.599998,105.139999,105.139999,105.139999,2211199
2023-09-13,104.919998,104.919998,103.860001,104.300003,104.300003,2602036
2023-09-14,104.800003,104.959999,104.040001,104.959999,104.959999,2767352
2023-09-15,104.900002,105.900002,104.860001,105.419998,105.419998,7127726
2023-09-18,105.459999,106.059998,104.879997,105.720001,105.720001,2327364
2023-09-19,105.459999,105.919998,104.879997,105.599998,105.599998,2455846
2023-09-20,105.860001,106.779999,105.459999,106.720001,106.720001,3046364
2023-09-21,106.800003,108.080002,106.620003,107.919998,107.919998,3979792
2023-09-22,107.120003,107.279999,106.339996,106.900002,106.900002,2424264
2023-09-25,106.820000,107.580002,106.580002,107.139999,107.139999,2508886
2023-09-26,106.519997,106.919998,105.540001,105.599998,105.599998,3123287
2023-09-27,105.540001,105.720001,103.699997,103.699997,103.699997,2952570
2023-09-28,103.680000,103.839996,102.440002,102.900002,102.900002,3130294
2023-09-29,103.300003,104.519997,103.180000,103.739998,103.739998,3819645
2023-10-02,103.860001,104.059998,102.639999,102.760002,102.760002,2150299
2023-10-03,103.019997,103.480003,102.320000,102.639999,102.639999,2198523
2023-10-04,102.440002,104.040001,102.260002,102.839996,102.839996,2907607
2023-10-05,103.279999,103.800003,102.680000,102.900002,102.900002,2885014
2023-10-06,102.199997,102.300003,98.360001,100.300003,100.300003,6650703
