"date,time,abbreviation_canton,ncumul_conf,current_hosp,new_hosp,current_icu,ncumul_released,ncumul_deceased,nneg_test,num_isolated,total_vaccinations,first_doses,second_doses,third_doses,booster_first,booster_second,doses_delivered,source"
"2020-08-06,10:00,TG,479,2,0,1,78,20,183,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-07,10:00,TG,482,2,0,1,78,20,144,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-08,10:00,TG,489,3,1,2,78,20,122,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-09,10:00,TG,496,3,0,2,78,20,66,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-10,10:00,TG,503,3,0,1,78,20,123,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-11,10:00,TG,505,3,0,1,78,20,243,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-12,10:00,TG,510,4,1,1,78,20,206,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-13,10:00,TG,520,3,0,1,79,20,212,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-14,10:00,TG,525,4,1,1,79,20,208,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-15,10:00,TG,527,4,0,1,79,20,139,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-16,10:00,TG,532,4,0,1,79,20,55,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-17,10:00,TG,535,4,0,1,79,20,183,54,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-18,10:00,TG,547,4,0,1,79,20,288,45,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-19,10:00,TG,549,4,0,1,79,20,281,45,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-20,10:00,TG,553,4,0,1,79,20,276,47,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-21,10:00,TG,559,4,0,1,79,20,225,39,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-22,10:00,TG,559,3,0,1,80,20,116,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-23,10:00,TG,560,3,0,1,80,20,83,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-24,10:00,TG,564,2,0,1,81,20,243,32,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-25,10:00,TG,569,2,0,1,81,20,354,28,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-26,10:00,TG,570,2,0,1,81,20,389,30,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-27,10:00,TG,570,2,0,1,81,20,312,27,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-28,10:00,TG,578,3,1,1,81,20,319,23,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-29,10:00,TG,580,4,1,1,81,20,212,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-30,10:00,TG,580,4,0,1,81,20,55,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-08-31,10:00,TG,580,3,0,1,82,20,286,30,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-01,10:00,TG,584,3,0,1,82,20,412,25,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-02,10:00,TG,585,5,2,1,82,20,402,27,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-03,10:00,TG,590,5,0,1,82,20,329,26,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-04,10:00,TG,593,4,0,1,83,20,317,23,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-05,10:00,TG,593,4,0,1,83,20,176,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-06,10:00,TG,593,4,0,1,83,20,66,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-07,10:00,TG,596,3,0,1,84,20,286,23,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-08,10:00,TG,608,3,0,1,84,20,383,13,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-09,10:00,TG,614,3,0,1,84,20,408,18,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-09-10,10:00,TG,626,3,0,1,84,20,412,26,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
